gene_id	utrname1	gene_symbol	gs_id
1	NM_130786	A1BG	14267
2	NM_000014	A2M	6115
9	NM_001160173	NAT1	9096
9	NM_000662	NAT1	9096
9	NM_001160176	NAT1	9096
9	NM_001291962	NAT1	9096
9	NM_001160170	NAT1	9096
9	NM_001160175	NAT1	9096
9	NM_001160172	NAT1	9096
9	NM_001160174	NAT1	9096
9	NM_001160179	NAT1	9096
9	NM_001160171	NAT1	9096
12	NM_001085	SERPINA3	2746
13	NM_001086	AADAC	12719
14	NM_001087	AAMP	9161
14	NM_001302545	AAMP	9161
15	NM_001088	AANAT	12015
15	NM_001166579	AANAT	12015
16	NM_001605	AARS	6409
18	NM_020686	ABAT	3196
18	NM_000663	ABAT	3196
18	NM_001127448	ABAT	3196
19	NM_005502	ABCA1	1099
20	NM_212533	ABCA2	12233
20	NM_001606	ABCA2	12233
21	NM_001089	ABCA3	2879
22	NM_001271696	ABCB7	4844
22	NM_004299	ABCB7	4844
22	NM_001271698	ABCB7	4844
22	NM_001271699	ABCB7	4844
22	NM_001271697	ABCB7	4844
23	NM_001025091	ABCF1	7503
23	NM_001090	ABCF1	7503
24	NM_000350	ABCA4	3725
25	NM_005157	ABL1	968
25	NM_007313	ABL1	968
27	NM_001136000	ABL2	6001
27	NM_001168238	ABL2	6001
27	NM_001168237	ABL2	6001
27	NM_007314	ABL2	6001
27	NM_001168239	ABL2	6001
27	NM_001136001	ABL2	6001
27	NM_001168236	ABL2	6001
27	NM_005158	ABL2	6001
29	NM_001282149	ABR	9903
29	NM_001322842	ABR	9903
29	NM_001159746	ABR	9903
29	NM_001256847	ABR	9903
29	NM_001092	ABR	9903
29	NM_021962	ABR	9903
29	NM_001322840	ABR	9903
29	NM_001322841	ABR	9903
30	NM_001130410	ACAA1	9847
30	NM_001607	ACAA1	9847
30	NR_024024	ACAA1	9847
31	NM_198839	ACACA	2995
31	NM_198834	ACACA	2995
31	NM_198836	ACACA	2995
31	NM_198838	ACACA	2995
31	NM_198837	ACACA	2995
32	NM_001093	ACACB	4828
33	NM_001608	ACADL	6279
34	NM_000016	ACADM	1522
34	NM_001286044	ACADM	1522
34	NM_001286043	ACADM	1522
34	NM_001286042	ACADM	1522
34	NM_001127328	ACADM	1522
35	NM_000017	ACADS	8557
35	NM_001302554	ACADS	8557
36	NM_001609	ACADSB	5910
37	NM_001033859	ACADVL	6433
37	NM_001270447	ACADVL	6433
37	NM_001270448	ACADVL	6433
37	NM_000018	ACADVL	6433
38	NM_000019	ACAT1	6886
39	NM_005891	ACAT2	6330
39	NM_001303253	ACAT2	6330
41	NM_020039	ASIC1	11865
41	NM_001095	ASIC1	11865
41	NM_001256830	ASIC1	11865
43	NM_001302622	ACHE	12311
43	NM_015831	ACHE	12311
43	NM_001302621	ACHE	12311
43	NM_000665	ACHE	12311
43	NM_001282449	ACHE	12311
47	NM_001303274	ACLY	9695
47	NM_001096	ACLY	9695
47	NM_198830	ACLY	9695
47	NM_001303275	ACLY	9695
48	NM_001278352	ACO1	13839
48	NM_002197	ACO1	13839
49	NM_001097	ACR	4490
51	NM_004035	ACOX1	10061
51	NM_007292	ACOX1	10061
51	NM_001185039	ACOX1	10061
52	NM_004300	ACP1	11011
52	NM_007099	ACP1	11011
52	NM_001040649	ACP1	11011
53	NM_001610	ACP2	484
53	NM_001302489	ACP2	484
53	NM_001302491	ACP2	484
53	NM_001302490	ACP2	484
53	NM_001302492	ACP2	484
55	NM_001292037	ACPP	9491
55	NM_001134194	ACPP	9491
55	NM_001099	ACPP	9491
58	NM_001100	ACTA1	6903
59	NM_001320855	ACTA2	10771
59	NM_001141945	ACTA2	10771
